Ranking,User,Model,Results,Mean Reward,Std Reward
320,fearofknowledge,fearofknowledge/ppo-LunarLander-v2,274.53,287.77,13.24
321,HugBot,HugBot/ppo-LunarLander-v2,274.48,290.32,15.84
322,SyedAbdul,SyedAbdul/PPO-LunarLander-V2,274.44,288.38,13.94
323,xaeroq,xaeroq/ppo-LunarLander-v2,274.43,289.87,15.44
324,AigizK,AigizK/ppo-LunarLander-v2,274.4,289.88,15.48
325,anodare,anodare/ppo-LunarLander-v3,274.38,290.31,15.93
326,commanderxa,commanderxa/ppo-LunarLander-v2,274.33,291.71,17.38
327,pankajcipher,pankajcipher/repo1,274.29,292.35,18.06
328,gurpreetmukker,gurpreetmukker/ppo-LunarLander-v2-3M,274.28,287.58,13.3
329,ib1368,ib1368/ppo-LunarLander-v2,274.16,288.56,14.4
330,seriy21,seriy21/ppo-LunarLander-v2_tst2,274.13,291.14,17.01
331,FollishBoi,FollishBoi/ppo-LunarLander-v2-try5,274.12,289.86,15.74
332,Malaika1704,Malaika1704/MK-LunarLander-v2,274.11999999999995,289.03,14.91
333,mula-manasa,mula-manasa/ppo-LunarLander,274.09000000000003,289.22,15.13
334,DarylR,DarylR/ppo-LunarLander-v2,273.99,286.52,12.53
335,cmilica,cmilica/ppo-LunarLander-v2,273.93,290.16,16.23
336,Misha24-10,Misha24-10/TEST2ppo-LunarLander-v5,273.83,291.82,17.99
337,EmberrJoel,EmberrJoel/ppo-LunarLander-v2,273.82,291.88,18.06
338,ZahraRahimiii,ZahraRahimiii/ppo-LunarLander-v2,273.78,297.39,23.61
339,kucharskipj,kucharskipj/ppo-LunarLander-v2,273.77,282.83,9.06
340,AlikS,AlikS/ppo-LunarLander-v2,273.71,287.94,14.23
341,thegadri,thegadri/ppo-LunarLander-v2,273.7,284.69,10.99
342,Einbauch,Einbauch/PPO-LunarLander-v2,273.7,284.81,11.11
343,messham,messham/PPO-LunarLander-v2-Optuna,273.69,287.7,14.01
344,seriy21,seriy21/ppo-LunarLander-v2,273.65000000000003,286.36,12.71
345,IrinaArcadievna,IrinaArcadievna/ppo-LunarLander-v2,273.65000000000003,290.92,17.27
346,janimo,janimo/dlc1,273.65,293.7,20.05
347,Kazymirx,Kazymirx/ppo-LunarLander-v2,273.63,290.34,16.71
348,han-na,han-na/LunarLander,273.61,289.18,15.57
349,MFawad,MFawad/ppo-LunarLander-v2,273.61,290.83,17.22
350,pratsy,pratsy/ppo-LunarLander-v0,273.6,292.66,19.06
351,bvk1ng,bvk1ng/LunarLander-v2,273.6,290.88,17.28
352,Rifky,Rifky/PPO-MlpPolicy-LunarLanderV2,273.59000000000003,288.85,15.26
353,bplo,bplo/ppo-LunarLander-v2,273.56,283.69,10.13
354,slava-medvedev,slava-medvedev/ppo-LunarLander-v2,273.55,287.04,13.49
355,nburley,nburley/ppo-LunarLander-v2,273.53,289.84,16.31
356,davidrd123,davidrd123/ppo-LunarLander-v2_optim_v6,273.49,292.95,19.46
357,mrmegatelo,mrmegatelo/ppo-LunarLander-v2,273.48,292.16,18.68
358,theteroles,theteroles/asci,273.46,291.96,18.5
359,pdmct,pdmct/ppo-Lunarlander-v2,273.45000000000005,288.29,14.84
360,cjaskolski,cjaskolski/ppo-LunarLander-v2,273.44,291.76,18.32
361,osmancanyuca,osmancanyuca/ppo-LunarLander-v2,273.41,285.47,12.06
362,messham,messham/ppo-LunarLander-v2-2mill-steps_2,273.37,286.98,13.61
