Ranking,User,Model,Results,Mean Reward,Std Reward
4725,Jingwenwang,Jingwenwang/ppo-LunarLander-v2,239.79999999999998,255.1,15.3
4726,Areeb-02,Areeb-02/ppo-LunarLander-v2,239.79999999999998,263.14,23.34
4727,ch-bz,ch-bz/ppo-LunarLander-v2,239.79000000000002,265.37,25.58
4728,Neomedallion,Neomedallion/ppo-LunarLander-v2,239.79,258.7,18.91
4729,ashwin512,ashwin512/ppo-LunarLander-v2,239.77999999999997,257.83,18.05
4730,bobjohn12345,bobjohn12345/ppo-landing,239.77,255.87,16.1
4731,JKUJhonny,JKUJhonny/PPO-LunarLander-v2,239.77,260.54,20.77
4732,thristyScholar,thristyScholar/ppo-LunarLander-v1,239.76999999999998,263.84,24.07
4733,dagilgon,dagilgon/ppo-LunarLander-v2,239.76999999999998,255.2,15.43
4734,Stoub,Stoub/Stoub-ppo-LunarLander-v2,239.76999999999998,261.4,21.63
4735,ppm312524,ppm312524/ppo-LunarLander-v2,239.76,263.4,23.64
4736,mrcmoresi,mrcmoresi/ppo-LunarLander-v2,239.76,254.13,14.37
4737,jjagorka,jjagorka/ppo-LunarLander-v2,239.74999999999997,263.02,23.27
4738,MindNetML,MindNetML/ppo-LunarLander-v2,239.74000000000004,268.22,28.48
4739,kaliansh,kaliansh/ReinforceModels,239.74,258.18,18.44
4740,OrenMatar,OrenMatar/ppo-LunarLander-v2,239.73999999999998,263.51,23.77
4741,bspies,bspies/ppo-LunarLander-v2,239.73000000000002,260.54,20.81
4742,saumikn,saumikn/ppo-LunarLander-v2,239.73,258.39,18.66
4743,Voe093,Voe093/ppo-LunarLander-v2,239.72000000000003,268.42,28.7
4744,aeroglu,aeroglu/ppo-LunarLander-v2,239.72,254.67,14.95
4745,Changhyeon,Changhyeon/ppo-LunarLander-v2,239.72,262.12,22.4
4746,Beauj,Beauj/PPO-LunarLander-v2,239.72,250.73,11.01
4747,gan11,gan11/ppo-LunarLander-v2,239.71000000000004,256.66,16.95
4748,spatial,spatial/ppo-LunarLander-v2,239.71,247.02,7.31
4749,maartenx01,maartenx01/ppo-LunarLander-v2,239.71,259.61,19.9
4750,recepdemrci,recepdemrci/PPO-LunarLander-v2,239.68,251.65,11.97
4751,sajihadadi,sajihadadi/ppo-LunarLander-v2,239.67999999999998,258.28,18.6
4752,akaminer,akaminer/ppo-LunarLander-v2,239.67999999999998,260.84,21.16
4753,Ortu003,Ortu003/ppo-LunarLander-v2,239.67000000000002,260.3,20.63
4754,OlgaVityuk,OlgaVityuk/ppo-LunarLander-v2,239.67000000000002,259.24,19.57
4755,aga3134,aga3134/ppo-LunarLander-v2,239.67,261.01,21.34
4756,Yuriky,Yuriky/TestPPO-LunarLander-v2,239.66000000000003,256.97,17.31
4757,GouldJayden,GouldJayden/ppo-LunarLander-v2,239.66000000000003,263.41,23.75
4758,ishkhan42,ishkhan42/PPO-LunarLander-v2,239.66,255.7,16.04
4759,ClaraG,ClaraG/PPO_LunarLander-v2,239.66,254.09,14.43
4760,pnm,pnm/ppo-LunarLander-v2,239.64,260.0,20.36
4761,octipuw,octipuw/uni1LunarLander,239.64,256.32,16.68
4762,amanch717234,amanch717234/ppo-LunarLander-v2,239.64,260.77,21.13
4763,AnAmbitiousMonk,AnAmbitiousMonk/ppo-LunarLander-v3,239.64,252.29,12.65
4764,DominicKramer,DominicKramer/ppo-LunarLander-v2,239.63,252.09,12.46
4765,mjob1,mjob1/ppo-LunarLander-v2,239.62999999999997,260.4,20.77
4766,Vladislav-HuggingFace,Vladislav-HuggingFace/LunarLander-v2,239.62000000000003,260.1,20.48
4767,jasonwjapp,jasonwjapp/ppo-LunarLander-v2,239.61,257.37,17.76
4768,dallonf,dallonf/ppo-LunarLander-v2-rlcourse,239.61,260.04,20.43
4769,Nyxynyx,Nyxynyx/ppo-LunarLander-v2,239.61,253.96,14.35
4770,chrizandr,chrizandr/Lunar-Lander,239.60999999999999,251.73,12.12
4771,gioca91,gioca91/ppo-LunarLander-v2,239.6,267.75,28.15
4772,MaximeG,MaximeG/ppo-LunarLander-v2,239.59,255.43,15.84
4773,mirzask,mirzask/ppo-LunarLander-v2,239.57,259.37,19.8
4774,jshiao9487,jshiao9487/ppo-LunarLander-v2,239.56999999999996,257.59,18.02
4775,sadkloud,sadkloud/ppo-LunarLander-v2,239.56,261.32,21.76
4776,odiaz1066,odiaz1066/PPO-LunarLander,239.55,253.66,14.11
4777,LucianoDeben,LucianoDeben/ppo-LunarLander-v2,239.55,258.91,19.36
4778,sabretoothedhugs,sabretoothedhugs/ppo-LunarLander-v2,239.54999999999998,256.02,16.47
4779,archiMAD,archiMAD/PPO-LunarLander-v2,239.54999999999998,251.54,11.99
4780,PiotrD,PiotrD/PPO-LunarLander-v2,239.54999999999998,256.08,16.53
4781,tonytklu,tonytklu/ppo-LunarLander-v2,239.54000000000002,263.93,24.39
4782,bwalser,bwalser/ppo-LunarLander-v2,239.54000000000002,257.47,17.93
4783,beothorn,beothorn/ppo-LunarLander-v2,239.54000000000002,255.74,16.2
4784,Mortello,Mortello/ppo-LunarLander-v2,239.54000000000002,259.41,19.87
4785,bsgreenb,bsgreenb/ppo-LunarLander-v2,239.53,254.48,14.95
4786,jontoto,jontoto/ppo-LunarLander-v2,239.52,263.81,24.29
4787,chaudharyakhil,chaudharyakhil/deep-rl-unit-1-lunar-lander-v1,239.52,256.3,16.78
4788,PakanunNoa,PakanunNoa/ppo-LunarLander-v2,239.52,261.0,21.48
4789,soonchang,soonchang/ppo-LunarLander-v2,239.51999999999998,263.15,23.63
4790,chandaskadoosh,chandaskadoosh/ppo-Lunarlander-v2,239.51999999999998,259.58,20.06
4791,pceccon,pceccon/ppo-LunarLander-v2,239.51000000000002,252.58,13.07
4792,nautilus23,nautilus23/ppo-LunarLander-v2,239.51000000000002,253.68,14.17
4793,anradulescu,anradulescu/ppo-LunarLander-v2,239.49,261.12,21.63
4794,KhariotnovKK,KhariotnovKK/luna_lender_v1,239.48999999999998,260.2,20.71
4795,wxingxu,wxingxu/ppo-LunarLander-v2,239.48000000000002,259.16,19.68
4796,Ktang2k,Ktang2k/sb3-ppo-LunarLander-v2,239.48000000000002,259.29,19.81
4797,anthonyx,anthonyx/ppo-LunarLander-v2,239.47,259.32,19.85
4798,j3rrythomas,j3rrythomas/ppo-LunarLander-v2,239.46999999999997,264.59,25.12
4799,varunsappa,varunsappa/ppo-LunarLander-v2,239.45,261.65,22.2
4800,SJCaldwell,SJCaldwell/ppo-LunarLander,239.45,254.54,15.09
4801,Yukino666,Yukino666/ppo-LunarLander-v2,239.43,265.93,26.5
4802,DiegoD616,DiegoD616/PPO-LunarLander-v2,239.43,264.76,25.33
4803,anders0204,anders0204/LunarLander-v1,239.42999999999998,260.4,20.97
4804,iamandrewliao,iamandrewliao/lunarlanding-ppo,239.42000000000002,260.85,21.43
4805,ElementBrawlerAI,ElementBrawlerAI/ppo-sb3-LunarLander-v2,239.42000000000002,264.72,25.3
4806,jvogie,jvogie/LunarLander,239.42,252.13,12.71
4807,Xoyo,Xoyo/Xoyo_Lunar,239.41,254.95,15.54
4808,ASchiller,ASchiller/LunarLander-PPO,239.4,258.49,19.09
4809,sharswet,sharswet/ppo-LunarLander-v2,239.38000000000002,256.85,17.47
4810,fakerror,fakerror/ppo-LunarLander-v2,239.38,259.77,20.39
4811,ecorro,ecorro/ppo-LunarLander-v2,239.38,260.49,21.11
4812,kumasura,kumasura/suraj_lunar_lander,239.36,257.47,18.11
4813,Chaeguevara,Chaeguevara/PPO-LunarLander-v2,239.35999999999999,261.63,22.27
4814,technoid,technoid/ppo-LunarLander-v2,239.35,255.45,16.1
4815,chandrasutrisnotjhong,chandrasutrisnotjhong/ppo-LunarLander-v2,239.35,261.38,22.03
4816,MarwanG,MarwanG/ppo-LunarLander-v2,239.35,254.38,15.03
4817,Xavi-Hdz,Xavi-Hdz/ppo-LunarLander-v2,239.34,263.13,23.79
4818,KaboomWolf,KaboomWolf/ppo-LunarLander-v2,239.33999999999997,259.28,19.94
4819,Rhino-beetle,Rhino-beetle/lunar-landing-v2,239.33,253.37,14.04
4820,SofyPreo,SofyPreo/ppo-LunarLander-v2,239.31999999999996,259.34,20.02
4821,maurinbrg,maurinbrg/PPO-LunarLander-v2,239.31,261.86,22.55
4822,jannikjw,jannikjw/ppo-LunarLander-v2,239.31,264.68,25.37
4823,juan9,juan9/PPO,239.3,258.91,19.61
4824,fernando232s,fernando232s/ppo-LunarLander-v2,239.3,257.6,18.3
4825,delmaksym,delmaksym/ppo-LunarLander-v2,239.3,254.36,15.06
4826,sevenducks,sevenducks/ppo-lunarlander-v2,239.29999999999998,257.95,18.65
4827,shendarkarcv,shendarkarcv/ppo-LunarLander-v2,239.29,258.56,19.27
4828,vsabov,vsabov/rl-lab,239.28000000000003,264.54,25.26
4829,dhorbach,dhorbach/hfc_ppo_LunarLander-v2,239.28000000000003,260.47,21.19
4830,sky-2002,sky-2002/aakash-ppo-lunar-lander-v2-try_2,239.28,260.38,21.1
4831,dfstein,dfstein/ppo-LunarLander-v2,239.28,252.66,13.38
4832,sh-holmes,sh-holmes/ppo-LunarLander-v2,239.27999999999997,258.58,19.3
4833,Qasim30,Qasim30/ppo-LunarLander-v2,239.27,259.23,19.96
4834,mosterdslop,mosterdslop/ppo-LunarLander-v2,239.26000000000002,262.29,23.03
4835,danisola,danisola/ppo-LunarLander-v2,239.26000000000002,262.72,23.46
4836,Behnam,Behnam/ppo-LunarLander-v2,239.26000000000002,257.3,18.04
4837,ptaylour,ptaylour/LunarLander-v2,239.26,257.95,18.69
4838,fedelarrocca,fedelarrocca/ppo-LunarLander-v2,239.26,256.93,17.67
4839,Ycliu0509,Ycliu0509/ppo-LunarLander-v2,239.26,257.63,18.37
4840,SebastianS,SebastianS/ppo-LunarLander-v2_v2,239.25000000000003,257.79,18.54
4841,chelseadzd,chelseadzd/ppo-LunarLander-v2,239.25,255.91,16.66
4842,Ytia1010,Ytia1010/ppo-LunarLander-v2,239.25,257.01,17.76
4843,Viswes,Viswes/lunar,239.24999999999997,263.84,24.59
4844,mohadokh,mohadokh/ppo-LunarLander-v2,239.24,259.06,19.82
4845,erodola,erodola/ppo-LunarLander-v2,239.23000000000002,257.11,17.88
4846,MODF,MODF/ppo-LunarLander-v1,239.23000000000002,260.68,21.45
4847,kamalp99,kamalp99/ppo-LunarLander-v2,239.23,261.75,22.52
4848,BmanClark,BmanClark/ppo-LunarLander-v2,239.23,253.92,14.69
4849,brunonishimoto,brunonishimoto/ppo-LunarLander-v2,239.21999999999997,256.58,17.36
4850,nguyenduchuyiu,nguyenduchuyiu/ppo-LunarLander-v2-the-first-project,239.21,264.36,25.15
4851,StevenPerrin,StevenPerrin/ppo-LunarLander-v2,239.21,257.25,18.04
4852,KristianS7,KristianS7/ppo-LunarLander-v2,239.20999999999998,259.34,20.13
4853,FTen,FTen/LunarLander,239.20000000000002,254.74,15.54
4854,zhangp1103,zhangp1103/ppo-LunarLander-v2,239.2,254.94,15.74
4855,philipperobert,philipperobert/rl_hugginface,239.2,255.62,16.42
4856,lheinbokel,lheinbokel/ppo-LunarLander-v2,239.19000000000003,256.41,17.22
4857,lukas288,lukas288/ppo-LunarLander-v2,239.19,258.55,19.36
4858,ne-bo,ne-bo/rl-course,239.18000000000004,263.66,24.48
4859,rigon-tk,rigon-tk/ppo-LunarLander-v2,239.18,260.75,21.57
4860,jonialon,jonialon/ppo-LunarLander-v2,239.17000000000002,259.22,20.05
4861,ccql,ccql/ppo-LunarLander-v2,239.17000000000002,255.87,16.7
4862,zwimpee,zwimpee/ppo-LunarLander-v2,239.14999999999998,255.67,16.52
4863,jrad98,jrad98/ppo-LunarLander-v2,239.14999999999998,262.28,23.13
4864,Dmitriy007,Dmitriy007/Flight_Luntik-v1,239.14000000000001,251.61,12.47
4865,ninja21,ninja21/ppo-LunarLander-v2,239.14,262.84,23.7
4866,Pybunny,Pybunny/ppo-LunarLander-v2,239.14,257.58,18.44
4867,LevonMI,LevonMI/ppo-LunarLander-v2,239.14,255.23,16.09
4868,DarshVerma,DarshVerma/ppo-LunarLander-v2,239.14,255.66,16.52
4869,saousan,saousan/ppo-LunarLander-v2,239.12,256.5,17.38
4870,Extred,Extred/TEST2ppo-LunarLander-v2,239.12,256.82,17.7
4871,0xid,0xid/ppo-LunarLander-v2-unit1,239.11999999999998,262.96,23.84
4872,HimashaRandil-00,HimashaRandil-00/ppo-LunarLander-v2,239.10999999999999,259.4,20.29
4873,messham,messham/LunarLander_Course2,239.10000000000002,259.86,20.76
4874,Jackman4399,Jackman4399/LunarLander-v2,239.10000000000002,257.66,18.56
4875,w4yw4rd,w4yw4rd/ppo-LunarLander-v2,239.1,261.44,22.34
4876,arnonl,arnonl/ppo-LunarLander-v2,239.1,257.0,17.9
4877,Olivia-umich,Olivia-umich/ppo-LunarLander-v2,239.1,257.88,18.78
4878,mdml,mdml/ppo-LunarLander-v2,239.09999999999997,259.02,19.92
4879,tdeckers,tdeckers/ppo-LunarLander-v2,239.07,258.12,19.05
4880,kchilala,kchilala/ppo-LunarLander-v2,239.07,253.41,14.34
4881,hui168,hui168/LunarLander-v2,239.07,263.08,24.01
4882,dc-at-hf,dc-at-hf/lunarlander,239.07,261.32,22.25
4883,dugongo,dugongo/ppo-LunarLander-v2,239.06,254.85,15.79
4884,danielghe,danielghe/ppo-LunarLander-v2,239.06,252.93,13.87
4885,ValentinCatherine,ValentinCatherine/ppo-LunarLander-v2,239.05,259.43,20.38
4886,egyee,egyee/ppo-LunarLander-v2-TEST,239.04999999999998,255.6,16.55
4887,zuenmin,zuenmin/ppo-LunarLander-v2-1st,239.04,260.0,20.96
4888,sirjoy,sirjoy/ppo-LunarLander-v2,239.04,262.01,22.97
4889,AlexKe,AlexKe/ppo-LunarLander-v2,239.02,258.17,19.15
4890,RafiAIProjects,RafiAIProjects/LunarLander-v2,239.01999999999998,256.7,17.68
4891,Piemag,Piemag/FirstPPO-LunarLander-v2,239.01999999999998,258.69,19.67
4892,koala645,koala645/ppo-LunarLander-v2,239.00000000000003,263.72,24.72
4893,brke,brke/ppo-LunarLander-v2,239.0,253.6,14.6
4894,TimotheeW,TimotheeW/ppo-LunarLander-v2,239.0,259.63,20.63
4895,Mitchell0528,Mitchell0528/ppo-LunarLander-v2,239.0,255.28,16.28
4896,manojkumarvohra,manojkumarvohra/ppo-LunarLander-v2,238.99,260.86,21.87
4897,Guerosharp,Guerosharp/ppo-LunarLander-v2,238.99,259.18,20.19
4898,Hmm-m,Hmm-m/ppo-LunarLander-v2-public,238.98999999999998,257.76,18.77
4899,DrNykterstein,DrNykterstein/ppo-LunarLander-v2_01,238.98000000000002,266.42,27.44
4900,Saujana,Saujana/PPO-LunarLander-v2,238.98,259.32,20.34
4901,Pamela153,Pamela153/ppo-LunarLander-v2,238.98,251.7,12.72
4902,luhx,luhx/ppo-LunarLander-v2,238.96,254.99,16.03
4903,jondister,jondister/ppp-LunarLander-v2,238.96,260.62,21.66
4904,augustogeog,augustogeog/ppo-LunarLander-v2,238.95000000000002,259.55,20.6
4905,MHaurel,MHaurel/LunarLander-v2,238.95,255.97,17.02
4906,jiiihyeonnn,jiiihyeonnn/ppo-LunarLander-v2,238.94000000000003,257.72,18.78
4907,vihu,vihu/ppo-LunarLander-v2,238.92999999999998,261.03,22.1
4908,averydd,averydd/ppo-LunarLander-v2,238.92000000000002,255.34,16.42
4909,archbold,archbold/ppo-LunarLander-v2,238.92,254.26,15.34
4910,FrancescoArno94,FrancescoArno94/ppo-LunarLander-v2,238.92,254.72,15.8
4911,magixn,magixn/stable-baselines3-ppo-LunarLander-v2,238.9,259.18,20.28
4912,rtyui123,rtyui123/ppo-LunarLander-v2,238.89999999999998,262.78,23.88
4913,phanhieeus,phanhieeus/ppo-LunarLander-v2,238.89,257.89,19.0
4914,BCDAI,BCDAI/ppo-LunarLander-v2,238.89,263.78,24.89
4915,neithangurthang,neithangurthang/TrainingLunar,238.88000000000002,261.11,22.23
4916,ninag,ninag/ppo-LunarLander-v2,238.88,253.97,15.09
4917,adlrocha,adlrocha/dqn_lunar,238.88,253.96,15.08
4918,hui168,hui168/ppo-LunarLander-v2,238.87,260.32,21.45
4919,NhatTranKKK,NhatTranKKK/ppo-LunarLander-v2,238.87,255.26,16.39
4920,NikitaBaramiia,NikitaBaramiia/PPO-ppo-LunarLander-v2-3,238.86,258.97,20.11
4921,ankushkr2898,ankushkr2898/ppo-LunarLander-v2,238.85000000000002,259.98,21.13
4922,pg20sanger,pg20sanger/LunarLander-v2-test,238.85,261.58,22.73
4923,jmukund,jmukund/lunar_lander,238.84000000000003,258.29,19.45
4924,AdrienGoldszal,AdrienGoldszal/ppo-LunarLander-v2,238.83,261.61,22.78
4925,pawansngh88,pawansngh88/ppo-LunarLander-v2,238.82999999999998,252.82,13.99
4926,elotech,elotech/ppo-LunarLander-v2,238.82999999999998,254.01,15.18
4927,DiegoT200,DiegoT200/ppo-LunarLander-v2,238.82999999999998,258.01,19.18
4928,Hrichik,Hrichik/ppo-LunarLander-v2,238.82000000000002,258.72,19.9
4929,rlcourseziheye,rlcourseziheye/LunarLanderv2PPO,238.81,270.74,31.93
4930,mache102,mache102/ppo-LunarLander-v2,238.81,254.62,15.81
4931,Yukiea,Yukiea/ppo-LunarLander-v2,238.81,256.25,17.44
4932,JinsooKim,JinsooKim/ppo-LunarLander-v2,238.81,257.56,18.75
4933,DavidHuggingFace1,DavidHuggingFace1/ppo-Lunar-Landar-v2,238.81,257.36,18.55
4934,RengarYang,RengarYang/RL1,238.80999999999997,261.52,22.71
4935,anikur93,anikur93/ppo-LunarLander-v2,238.8,257.93,19.13
4936,dbailleul,dbailleul/ppo-LunarLander-v2,238.79999999999998,261.77,22.97
4937,chens28,chens28/ppo-LunarLander-v2,238.79000000000002,254.58,15.79
4938,Robspire,Robspire/ppo-LunarLander-v2,238.79000000000002,256.3,17.51
4939,malikdurmus,malikdurmus/ppo-LunarLander-WSL,238.79,259.44,20.65
4940,hymieb,hymieb/ppo-LunarLander-v2,238.79,257.45,18.66
4941,lorenzreyes,lorenzreyes/ppo-LunarLander-v2-unit1,238.78999999999996,259.46,20.67
4942,ksanchis,ksanchis/ppo-LunarLander-v2,238.77,261.99,23.22
4943,jproman,jproman/ppo-LunarLander-v2,238.77,262.24,23.47
4944,blotus51515,blotus51515/ppo-LunarLander-v2,238.76999999999998,254.1,15.33
4945,Ale902,Ale902/ppo-LunarLander-v2,238.76000000000002,260.23,21.47
4946,suhas-kr,suhas-kr/ppo-LunarLander-v2,238.75,257.61,18.86
4947,shoning,shoning/PPO-LunarLander-v2,238.75,257.81,19.06
4948,ndhieunguyen,ndhieunguyen/ppo-LunarLander-v2,238.75,256.89,18.14
4949,schleir,schleir/ppo-LunarLander-v2,238.74,260.1,21.36
4950,ghost171,ghost171/LunarLander,238.74,258.36,19.62
4951,angelinux,angelinux/PPO-LunarLander-v2-new,238.74,260.5,21.76
4952,Yash-Shindey,Yash-Shindey/ppo-LunarLander-v2,238.74,252.72,13.98
4953,Leukschrauber,Leukschrauber/ppo-LunarLander-v2,238.74,257.8,19.06
4954,viethungdoan,viethungdoan/ppo-LunarLander-v2,238.73999999999998,255.95,17.21
4955,rohithsrinivaas,rohithsrinivaas/ppo-LunarLander-v2,238.73999999999998,259.96,21.22
4956,DrR0b0t,DrR0b0t/ppo-LunarLander-v2,238.73999999999998,253.32,14.58
4957,tubadc,tubadc/ppo-LunarLander-v2,238.73000000000002,260.18,21.45
4958,shermansiu,shermansiu/ppo-LunarLander-v2,238.73000000000002,262.85,24.12
4959,omar2535,omar2535/ppo-LunarLander-v2,238.73,258.25,19.52
4960,albertcalin,albertcalin/ppo-LunarLander-v2,238.72000000000003,256.73,18.01
4961,rachmanilove,rachmanilove/ppo-LunarLander-v2,238.71999999999997,263.34,24.62
4962,MoeenTB,MoeenTB/ppo-LunarLander-v2,238.71,255.31,16.6
4963,HunyStark,HunyStark/ppo-LunarLander-v2,238.70999999999998,259.33,20.62
4964,SIC98,SIC98/ppo-LunarLander-v2,238.70000000000002,253.93,15.23
4965,robonspace,robonspace/ppo-LunarLander-v2,238.7,263.51,24.81
4966,danny900714,danny900714/ppo-LunarLander-v2,238.7,253.22,14.52
4967,JustDelet,JustDelet/ppo-LunarLander-v2,238.7,258.32,19.62
4968,msi3,msi3/ppo-LunarLander-v2,238.67,259.69,21.02
4969,heidragon3045,heidragon3045/ppo-LunarLander-v2,238.67,255.39,16.72
4970,cgr28,cgr28/ppo-LunarLander-v2,238.67,258.15,19.48
4971,Vladislav-HuggingFace,Vladislav-HuggingFace/LunarLander-PPO-v2,238.66000000000003,258.24,19.58
4972,Enkrateia96,Enkrateia96/ppo-LunarLander-v2,238.66,255.18,16.52
4973,Cyber-Machine,Cyber-Machine/LunarLander-v2,238.65000000000003,257.54,18.89
4974,Abhi03,Abhi03/LunarLander-TEST,238.65000000000003,257.72,19.07
4975,Subratdz,Subratdz/ppo-LunarLander-v2,238.64,253.57,14.93
4976,DebDash,DebDash/ppo-LunarLander-v2,238.63000000000002,253.33,14.7
4977,samehb,samehb/ppo_LunarLander-v2-TEST,238.63,258.37,19.74
4978,redflanker93,redflanker93/ppo-LunarLander-v2,238.63,255.54,16.91
4979,razvan404,razvan404/ppo-LunarLander-v2,238.63,260.3,21.67
4980,gr22dy,gr22dy/LunarLander_RLstudy,238.63,252.37,13.74
4981,RogersYANG,RogersYANG/ppo-LunarLander-v2,238.61999999999998,256.58,17.96
4982,virtualdann,virtualdann/rl_tutorial,238.61,253.93,15.32
4983,sidd2006,sidd2006/ppo-LunarLander-v2,238.61,263.91,25.3
4984,iamjoy,iamjoy/ppo-LunarLander-v2,238.61,260.3,21.69
4985,Zarmonela,Zarmonela/ppo-LunarLander-v2,238.61,262.93,24.32
4986,astefani,astefani/ppo-LunarLander-v2,238.60999999999999,262.09,23.48
4987,rayedbw,rayedbw/PPO-LunarLander-v2,238.60000000000002,257.92,19.32
4988,junruzhang,junruzhang/ppo-LunarLander-v2,238.6,257.7,19.1
4989,Sandeep199,Sandeep199/ppo-LunarLander-v2,238.6,258.12,19.52
4990,gurdeep213,gurdeep213/ppo-LunarLander-v2,238.59,257.57,18.98
4991,akaneshiro,akaneshiro/ppo-LunarLander-v2,238.58999999999997,259.08,20.49
4992,umutkavakli,umutkavakli/ppo-LunarLander-v2,238.58,260.31,21.73
4993,ramon-lins,ramon-lins/ppo-LunarLander-v2,238.58,256.49,17.91
4994,apwadkar,apwadkar/ppo-LunarLander-v2,238.58,259.06,20.48
4995,TuananhNguyen,TuananhNguyen/ppo-LunarLander-v2,238.57999999999998,256.5,17.92
4996,Karn3003,Karn3003/ppo-LunarLander-v2,238.57000000000002,258.97,20.4
4997,xnpeng,xnpeng/ppo-LunarLander-v2,238.57,271.49,32.92
4998,Rudder-AmitBirmal,Rudder-AmitBirmal/ppo-LunarLander-v2,238.56999999999996,257.09,18.52
4999,Kittitouch,Kittitouch/ppo-LunarLander-v2,238.55,264.0,25.45
5000,d01,d01/ppo-LunarLander-v2,238.54999999999998,257.57,19.02
5001,DanielDsouza,DanielDsouza/ppo-LunarLander-v2,238.54999999999998,256.09,17.54
5002,maraoz,maraoz/ppo-LunarLander-v2-base,238.54000000000002,259.36,20.82
5003,MMAHDIM77,MMAHDIM77/ppo-LunarLander-v2,238.54000000000002,262.86,24.32
5004,shaaaanya,shaaaanya/my-first-ppo-LunarLander-v2-model,238.54,267.32,28.78
5005,BoschAI,BoschAI/ppo-LunarLander-v2-TEST,238.54,256.69,18.15
5006,Cesar514,Cesar514/LunarLander-v2,238.53,259.13,20.6
5007,Miladrmz,Miladrmz/ppo-LunarLander-v2,238.52999999999997,256.59,18.06
5008,LMN8R,LMN8R/ppo-LunarLander-v2,238.48999999999998,261.34,22.85
5009,cmarvolo,cmarvolo/ppo-LunarLander-v2,238.48000000000002,256.11,17.63
5010,David0702,David0702/ppo-LunarLander-v2-1,238.48000000000002,260.68,22.2
5011,BartekSadlej,BartekSadlej/ppo-LunarLander-v2,238.48000000000002,255.77,17.29
5012,NathanClonts,NathanClonts/ppo-LunarLander-v2,238.48,256.19,17.71
5013,il18,il18/PPO-LunarLander-v2,238.47,254.21,15.74
5014,kubac,kubac/ppo-LunarLander-v2,238.46999999999997,256.09,17.62
5015,Jasmin0600,Jasmin0600/LunarLander,238.46999999999997,259.27,20.8
5016,ckallur,ckallur/ppo-LunarLander-v2,238.46,258.44,19.98
5017,dan713z,dan713z/lunder_lander,238.45000000000002,254.71,16.26
5018,sphynxlee,sphynxlee/LunarLander-v2,238.44000000000003,262.23,23.79
5019,r1ck,r1ck/v1-ppo-LunarLander-v2,238.43,257.13,18.7
5020,gziz,gziz/ppo-LunarLander-v2,238.43,258.68,20.25
5021,huanvo88,huanvo88/ppo-LunarLander-v2-unit8,238.42000000000002,277.29,38.87
5022,PaoloB27,PaoloB27/Lunar-Lander,238.42,257.32,18.9
5023,atharv-16,atharv-16/ppo-LunarLander-v2,238.40999999999997,258.15,19.74
5024,DaveJedi,DaveJedi/rl-tutorial-unit-1,238.4,260.94,22.54
5025,picklejin,picklejin/ppo-LunarLander-v2,238.39999999999998,257.51,19.11
5026,pashail,pashail/ppo-LunarLander-v2,238.39,255.63,17.24
5027,efarsarakis,efarsarakis/ppo-LunarLander-v2-TEST,238.39,256.44,18.05
5028,Kingpeach,Kingpeach/ppo-LunarLander-v2,238.38,258.14,19.76
5029,CC24,CC24/ppo-LunarLander-v2,238.37000000000003,259.66,21.29
5030,armargolis,armargolis/LunarLander-v2,238.37,254.73,16.36
5031,TomBern,TomBern/tommys_LunarLander,238.37,263.44,25.07
5032,Con-TI,Con-TI/ppo-LunarLander-v2,238.37,260.07,21.7
5033,yigitkucuk,yigitkucuk/LLV,238.36,254.44,16.08
5034,jsnh,jsnh/ppo-LunarLander-v2,238.36,252.5,14.14
5035,qJakc,qJakc/deepRL-course-ppo-LunarLander-v2-LunarLander-v2,238.35,259.32,20.97
5036,X01D,X01D/ppo-LunarLander_v2,238.35,254.64,16.29
5037,NiloyKumarKundu,NiloyKumarKundu/ppo-LunarLander-v2,238.35,251.31,12.96
5038,Cifko,Cifko/ppo-lunar-lander,238.33999999999997,260.26,21.92
5039,thegrigorian,thegrigorian/ppo-LunarLander-v2,238.33,258.11,19.78
5040,ajuanijustus,ajuanijustus/ppo-LunarLander-v2,238.32999999999998,259.89,21.56
5041,syedwilliams,syedwilliams/ppo-LunarLander-v2,238.32,259.96,21.64
5042,kevinzeng,kevinzeng/ppo-LunarLander-v2,238.32,254.94,16.62
5043,superustc,superustc/ppo-LunarLander-v2,238.31,258.11,19.8
5044,snorlax-xu,snorlax-xu/ppo-LunarLander-v2,238.31,260.92,22.61
5045,LouiseLecointre,LouiseLecointre/ppo-LunarLander-v2,238.31,254.69,16.38
5046,CSSJowoo,CSSJowoo/ppo-LunarLander-v2,238.31,254.78,16.47
5047,jackoyoungblood,jackoyoungblood/23ppo-LunarLander-v2,238.3,262.41,24.11
5048,SeNSiTivE,SeNSiTivE/RL-Course-Unit_1,238.3,258.69,20.39
5049,JoBuettner,JoBuettner/ppo-LunarLander-v2-unit1,238.3,249.96,11.66
5050,Klyak,Klyak/ppo-LunarLander-v2,238.29999999999998,256.76,18.46
5051,vovikdrg,vovikdrg/ppo-LunarLander-v2,238.28,261.93,23.65
5052,mdsunbeam,mdsunbeam/ppo-LunarLander-v2,238.28,253.77,15.49
5053,Samuel1234,Samuel1234/ppo-LunarLander-v2,238.28,258.25,19.97
5054,seongjae6751,seongjae6751/ppo-LunarLander-v2,238.27000000000004,258.16,19.89
5055,Wanlin0001,Wanlin0001/ppo-LunarLander-v2,238.27,258.29,20.02
